25,!18,30
26,!18,30
27,!19,31
28,!19,31
29,!20,34
32,!21,36
33,!21,36
34,!21,36
35,!23,39
36,!24,42
37,!24,42
38,!25,45
39,!25,45
40,!25,45
41,!25,45
44,!27,45
47,!29,46
50,!30,47
59,!31,88
60,!31,88
61,!32,89
62,!32,89
63,!33,90
72,!34,112
73,!35,113
74,!35,113
77,!35,113
78,!35,113
79,!35,113
82,!37,114
83,!37,114
84,!39,115
87,!35,113
88,!35,113
89,!35,113
90,!35,113
93,!40,116
94,!41,117
95,!41,117
98,!41,117
99,!41,117
100,!41,117
103,!43,118
104,!43,118
105,!45,119
106,!45,119
109,!45,119
110,!45,119
111,!45,119
114,!47,120
115,!47,120
116,!47,120
117,!47,120
118,!47,120
119,!47,120
120,!47,120
121,!47,120
126,!47,120
129,!49,121
130,!49,121
133,!51,122
134,!51,122
137,!52,123
138,!52,123
141,!53,125
144,!45,119
145,!45,119
146,!45,119
147,!45,119
150,!54,126
151,!55,127
154,!41,117
155,!41,117
156,!41,117
157,!41,117
160,!56,128
161,!57,129
172,!58,57
173,!58,57
174,!58,57
175,!58,57
176,!59,58
177,!60,59
180,!61,60
181,!63,61
182,!63,61
183,!63,61
184,!63,61
185,!63,61
188,!63,61
189,!63,61
190,!63,61
191,!63,61
192,!63,61
193,!63,61
194,!63,61
195,!63,61
196,!63,61
197,!63,61
200,!65,61
203,!67,62
204,!68,63
207,!69,64
208,!69,64
209,!69,64
210,!69,64
211,!69,64
212,!69,64
213,!69,64
214,!69,64
215,!69,64
216,!70,65
223,!71,72
224,!71,72
225,!71,72
226,!71,72
227,!71,72
228,!71,72
229,!72,73
240,!73,138
241,!73,138
244,!73,138
245,!73,138
246,!73,138
249,!75,139
250,!75,139
253,!75,139
254,!75,139
255,!75,139
258,!78,140
259,!78,140
260,!78,140
261,!78,140
262,!78,140
263,!78,140
264,!78,140
265,!78,140
266,!78,140
267,!78,140
270,!81,140
273,!83,141
274,!83,141
275,!83,141
276,!83,141
277,!83,141
278,!83,141
281,!85,142
282,!85,142
283,!85,142
284,!85,142
285,!85,142
286,!85,142
287,!85,142
288,!85,142
289,!85,142
290,!85,142
291,!85,142
292,!87,143
293,!87,143
296,!88,145
299,!75,139
300,!75,139
301,!75,139
302,!75,139
305,!89,146
308,!73,138
309,!73,138
310,!73,138
311,!73,138
314,!90,147
315,!90,147
318,!91,148
319,!91,148
332,!92,80
333,!92,80
334,!92,80
337,!92,80
338,!92,80
339,!92,80
342,!92,80
343,!92,80
344,!92,80
347,!92,80
348,!92,80
354,!93,81
363,!94,98
364,!94,98
367,!94,98
368,!94,98
369,!94,98
372,!96,99
373,!96,99
376,!96,99
377,!96,99
378,!96,99
381,!99,100
382,!99,100
383,!99,100
384,!99,100
385,!99,100
386,!99,100
387,!99,100
388,!99,100
389,!101,101
392,!96,99
393,!96,99
394,!96,99
395,!96,99
398,!102,102
401,!94,98
402,!94,98
403,!94,98
404,!94,98
407,!103,103
426,!104,156
427,!104,156
428,!105,157
429,!105,157
430,!106,159
431,!106,159
434,!106,159
435,!106,159
436,!106,159
439,!108,160
440,!108,160
441,!108,160
444,!108,160
445,!108,160
446,!108,160
449,!111,161
450,!111,161
451,!111,161
452,!111,161
453,!111,161
454,!111,161
455,!111,161
456,!111,161
457,!111,161
458,!111,161
459,!111,161
460,!111,161
461,!111,161
462,!111,161
463,!111,161
464,!111,161
465,!111,161
466,!111,161
467,!111,161
468,!111,161
469,!111,161
470,!111,161
471,!111,161
472,!111,161
473,!111,161
474,!111,161
475,!111,161
476,!111,161
477,!111,161
478,!111,161
479,!111,161
480,!111,161
483,!114,162
484,!116,163
487,!117,165
490,!108,160
491,!108,160
492,!108,160
493,!108,160
496,!118,166
497,!118,166
498,!118,166
501,!120,166
502,!120,166
505,!122,167
508,!106,159
509,!106,159
510,!106,159
511,!106,159
514,!123,168
515,!123,168
518,!124,169
519,!124,169
